lat@hdr,lon@hdr
52.139420,-4.571320
43.364380,-8.398931
52.789207,-4.741330
38.977921,-1.856410
52.153160,1.602830
36.852528,-2.459440
51.677193,-0.559360
51.689312,-5.079160
51.056919,-4.199650
51.915779,0.961890
56.909580,-5.849460
53.251343,-3.480100
52.516830,0.988130
56.954399,-7.500520
54.577183,-5.931920
41.599621,1.401140
57.473080,-7.364140
39.905178,-0.083220
57.006729,-3.395600
51.952881,-3.381740
47.480949,19.056530
53.229233,-1.919890
39.478863,-6.341800
55.425182,-5.601930
50.218330,-5.327270
43.471977,-3.798070
51.531059,-3.106810
54.895420,-2.938260
38.693413,-9.418520
35.891968,-5.306400
51.148991,-1.438320
52.358780,-1.331510
37.915600,-4.721100
42.318840,3.315600
53.344803,-2.640500
50.933701,3.399670
51.029819,13.729691
55.627171,-3.736080
53.648991,0.116430
55.924778,-3.294800
50.613438,-3.410060
51.279930,-0.772710
57.135700,-4.688480
54.075882,-2.308840
55.243427,-4.857600
55.854000,-4.296480
52.575558,1.731940
50.949699,-0.528690
54.174480,7.893090
58.115299,-3.649350
64.267288,-15.197909
53.317730,-4.642060
37.199978,-6.920290
51.404289,-1.513950
57.486248,-4.219270
28.308060,-16.499691
49.011242,8.411250
55.595642,-2.440060
52.878952,-1.078120
52.751369,0.401540
58.458771,-5.052340
57.245373,-2.328670
54.839550,-4.047360
37.098930,-8.668369
57.420300,-5.464110
53.800220,-1.663790
53.127800,-1.981320
42.588409,-5.650970
60.138321,-1.183720
53.250259,-0.520110
49.969193,-5.187740
56.013531,-5.446080
54.562943,-0.863430
52.588898,-3.851810
36.726112,-4.393520
39.552620,2.624550
55.212852,-1.685520
54.979122,-1.616580
52.266800,0.415260
35.140980,33.396442
56.451321,-5.440800
59.736580,10.367750
51.823959,-1.288540
50.541107,-4.936800
50.521782,-2.457490
52.583759,-0.263180
50.416470,-4.126190
50.775852,-1.910550
52.379299,13.066091
50.202892,-3.720280
54.412903,-1.736420
45.893497,11.042100
55.898849,-2.128600
40.945080,-5.495850
50.650330,-1.212980
53.141880,0.346770
52.185360,-0.112490
39.675350,-3.963960
50.937710,-1.470430
59.017708,5.598620
51.901501,-0.178500
58.203117,-6.375400
53.736458,-0.505040
51.565559,-3.981780
51.023399,-3.078700
51.425289,-0.343540
53.362740,5.219390
58.581570,-3.725040
56.500000,-6.880650
45.063370,7.661280
63.371380,10.319150
49.205891,16.592829
70.336365,31.031189
47.294189,1.719670
42.183983,-8.813080
40.443592,-3.952000
54.749107,-2.230380
51.101040,0.007630
52.307480,-0.624630
54.162331,-1.100100
41.633400,-0.882170
48.380489,-4.496580
49.913708,14.785630
64.267288,-15.197940
28.308071,-16.499659
35.499767,12.605659
28.763870,-17.893831
40.649128,16.704460
35.140987,33.396450
64.138794,-21.955471
59.422043,27.537739
40.334923,18.111490
40.524902,-3.088620
50.867477,0.335660
50.867477,0.334350
56.454941,-4.320740
30.407421,-91.180275
32.529030,-92.075905
34.957382,-106.494461
39.625057,-105.875198
41.743561,-70.886955
55.068890,-131.599213
33.165119,-86.756836
30.690830,-88.031715
29.301481,-95.485085
39.010292,-76.609245
-14.326099,-170.722427
44.395050,-68.221680
44.099091,-71.159546
55.190269,-162.707153
38.319130,-123.072891
35.132580,-119.109276
28.473799,-82.453674
33.799538,-118.028671
32.370399,-64.696259
29.798500,-93.325096
28.460201,-80.545204
65.498161,-144.677628
39.432640,-121.664955
64.873779,-147.860489
44.935619,-97.960686
40.441772,-124.396332
18.004480,-76.749054
17.260609,-88.778755
12.221820,-71.988045
12.180039,-68.958015
33.857628,-117.608925
36.904633,-75.712715
34.253597,-118.523796
19.355600,-99.161011
42.297348,-83.095314
36.624107,-116.019394
39.991432,-105.261024
29.062159,-82.370941
43.733692,-96.613976
29.879179,-89.942085
35.078503,-77.045898
47.974400,-124.398102
25.431389,-80.467010
30.643600,-86.551910
34.409901,-118.894104
26.590979,-81.864174
35.221783,-111.817406
46.205162,-123.956009
33.662331,-117.935715
47.748550,-90.341255
33.780350,-84.399445
39.553471,-77.714111
30.513071,-90.467621
43.270832,-73.539116
36.357708,-86.089516
32.701298,-80.005714
60.674812,-151.350159
35.754200,-118.419014
57.617588,-152.193878
21.983490,-159.758163
5.252180,-52.805969
39.044609,-96.039116
24.582270,-81.653046
26.196209,-80.173065
34.133327,-117.754074
38.010300,-85.298805
31.178780,-92.412315
38.972679,-77.488625
12.148940,-86.248985
19.239899,-99.172005
39.091221,-108.528145
27.849821,-82.532318
32.695320,-83.560555
30.180569,-93.217735
46.905163,-103.274689
32.090260,-87.391815
40.789520,-72.746284
40.102657,-110.048195
26.148651,-81.776276
35.174980,-77.049805
35.321800,-77.613708
33.765858,-117.744141
42.288811,-121.669334
29.298191,-81.108894
43.464890,-76.511536
39.531830,-121.487495
39.949490,-105.194260
36.027439,-119.062874
38.928341,-123.726204
39.572800,-119.799850
38.829243,-120.693192
36.485500,-121.792496
36.302151,-121.050896
37.471767,-122.357155
37.528202,-122.495094
38.313698,-123.068886
38.298138,-122.742645
38.777798,-122.575806
36.961998,-121.862701
37.104500,-121.650635
37.863899,-122.219055
38.473530,-121.646416
39.243797,-122.055214
39.145500,-121.943100
37.192398,-122.366905
36.015842,-120.294044
36.739002,-120.356606
37.352207,-120.196754
37.795200,-120.644501
38.090000,-120.951195
39.863583,-123.716896
41.559128,-124.086151
48.045300,-123.134346
32.666401,-117.243935
33.574680,-116.226822
34.907303,-120.650215
35.304447,-120.860275
37.061230,-122.237610
35.743900,-119.236694
35.141888,-116.103935
34.844402,-114.965096
37.613041,-119.000435
37.088890,-119.745605
30.469019,-87.189415
32.665421,-117.243034
47.663773,-114.113914
46.863510,-94.721985
37.187080,-122.389946
38.286842,-104.345520
18.462980,-67.066956
33.042240,-116.917252
39.561447,-75.569984
47.387512,-122.374771
43.756840,-71.690491
41.320431,-105.667786
42.512173,-92.458649
33.446510,-111.951889
35.367081,-94.816589
32.138599,-81.696350
46.950920,-120.724609
47.816589,-123.705734
32.914433,-118.487946
36.604137,-97.484795
36.841339,-96.428040
71.322891,-156.610336
31.772900,-106.506302
32.427692,-93.704651
32.840702,-117.249695
40.455032,-106.744545
47.518360,-117.423691
40.715771,-122.429306
44.303947,-91.903320
34.825058,-102.511780
30.396530,-84.355835
32.503258,-99.756836
35.153561,-101.878448
29.491209,-98.576630
30.311699,-97.756325
30.750460,-98.184395
34.459602,-100.278290
32.799980,-96.672905
33.210449,-97.162781
29.364410,-100.899506
31.691511,-106.271561
29.327871,-94.772644
